item,itemLabel,startDate,endDate,sourceDate,psid
Q1264701,Umar Mustafa al-Muntasir,1992,2000,2022-10-20,Q1264701-8CE9FB03-C01E-4E72-B8C1-40F2AC4722AA
Q307822,Abdel Rahman Shalgham,2000,2009,2022-10-20,Q307822-E5B89727-9A4D-4A82-A643-8AC25B6B00FA
Q337755,Moussa Koussa,2009,2011,2022-10-20,Q337755-A8CCA397-B6D7-4E6E-ACC2-CDB75970F0C8
Q296724,Mahmoud Jibril,2011-03-05,2011-11-22,,Q296724-dae8e50e-4d94-a7d0-500e-e94364134443
Q307121,Abdul Ati al-Obeidi,2011-04-06,2011-08-31,2022-10-20,Q307121-99667B88-130B-47A7-8754-22D4F3054DD2
Q748552,Ashour Bin Khayal,2011-11-22,2012-11-01,2022-10-20,Q748552-3A696476-B233-4F88-B8E5-EBCFC767067B
Q6890931,Mohamed Abdelaziz,2012-11-14,2014-09-28,2022-10-20,Q6890931-4B8144AE-26C3-46DE-985B-AECD18A00B56
Q1858267,Ali Aujali,2012-11-27,2013-01-02,,Q1858267-4C5D082E-3BD7-4EE6-981E-CAD3C0CE925F
Q108443110,Mohamed al-Ghariani,2014,2015,,Q108443110-7329F0AA-0C5D-4066-8BB1-A1136C02BBF5
Q18201431,Mohammed al-Dairi,2014-09-28,2019-02-28,,Q18201431-4EA01C05-5F10-41EE-9535-B07FC5ABF03A
Q108443111,Ali Abu Zakouk,2015,2016,,Q108443111-A50E554C-E5D0-4CDB-BB57-13730FA0E7C3
Q25999645,Mohamed Taha Siala,2016-05-14,2021-03-15,,Q25999645-B8268491-2A9F-4099-A8C0-56CE071806E0
Q63122668,Abdul-Hadi Al-Hawaij,2019-02-28,2021-03-15,,Q63122668-996F6767-6518-4F79-B525-3709EC6217F3
Q105977287,Najla Mangoush,2021-03-15,,,Q105977287-f1e20fbd-49df-531a-f396-9749889f32be
